ID	LABEL	Parent	IAO:0000115	IAO:0000119	IAO:0000117	IAO:0000118	obo:T4FS_0000564	obo:T4FS_0000565	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment	owl:deprecated	obo:IAO_0000233
obo:T4FS_0000535	encoding schema	data stewardship technical concept	Machine processable specifications which define the structure and syntax of metadata specifications in a formal schema language.	RDMT. https://terms.codata.org/rdmt/encoding-schema	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466						AL 5.12.22 Moved from 'findability of digital assets' as it is definitely not a particular data stewardship guideline.		
obo:T4FS_0000390	engage innovation partners	engaging in open innovation beyond academia	Learn about innovation partners' interests and concerns, analyze them and position the project work/outcome properly. Reach out to innovation partners with proactive and pragmatic innovation plan which is in compliance with FAIR principles.		Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000084	engaging in open innovation beyond academia	publish data											
BFO:0000001	entity												
obo:T4FS_0000042	ethical application of patents, licenses	publish data											
obo:T4FS_0000225	evaluation	assessment	Evaluation is a decision about significance, value, or quality of something, based on careful study of its good and bad features.	Definition from now-deprecated CASRAI Glossary term: evaluation	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466						AL 17.3.22: We may wish to make this an alternative term of Assessment.		
obo:T4FS_0000580	evaluation indicator	information content entity	Evaluation indicators are designed to enable the measurement of the degree of compliance against a guideline using a set of criteria. The goals of such indicators are varied, but a good example would be to improve the re-usability of the digital asset being measured for increased discoverability, interoperability and overall machine actionability.	Definition by https://orcid.org/0000-0002-7702-4495 and drawn in part from https://fairplus.github.io/Data-Maturity/docs/Indicators									https://github.com/terms4fairskills/FAIRterminology/issues/22
obo:T4FS_0000315	evaluation of how to publish your data	exposing data	To be able to define and deploy appropriate criteria, based on the FAIR principles, to identify the appropriate publishing platform for a dataset. This may, for example, involve discovering the mark-up of the platform, the exchange formats and data models used, and the licensing information for each repository. Tools such as the FAIR evaluator or FAIRshake may be used to assess the FAIRnessbased on human-entered questionnaires or FAIRsharing resource metadata.	[PMQ]	https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000021	exposing data	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|data stewardship activity	Exposing data is the activity of exposing your data to collaborators, the public, or other interested parties. A data producer makes the data accessible to external users in a machine- and/or human-readable way.	[PMQ 3.2022, AL 15.3.22]	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982						AL 15.3.22: Was "expose your data", which was not in the style of other term labels. Also updated definition, but might need revisiting later for a more formal definition.		
obo:T4FS_0000350	extensible markup language	'contributes to the implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|data stewardship technical concept	Text format derived from Standard Generalized Markup Language or ‘SGML’ (ISO 8879). Originally designed to meet the challenges of large-scale electronic publishing, XML is also playing an increasingly important role in the exchange of a wide variety of data on the Web and elsewhere.	RDMT. https://terms.codata.org/rdmt/extensible-markup-language	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	XML							
obo:T4FS_0000460	extensible resource identifier	'contributes to the implementation of' some 'F1. (meta)data are assigned a globally unique and persistent identifier'|identifier	Scheme used for identification of resources (including people and organisations) and the sharing of data across domains, enterprises, and applications. XRI TC will define a Uniform Resource Identifier (URI) scheme and a corresponding Uniform Resource Namespace (URN).	RDMT. https://terms.codata.org/rdmt/extensible-resource-identifier	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000512	F1. (meta)data are assigned a globally unique and persistent identifier	findability of digital assets			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000199	F2. data are described with rich metadata	findability of digital assets			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000435	F3. metadata clearly and explicitly include the identifier of the data they describe	findability of digital assets			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000393	F4. (meta)data are registered or indexed in a searchable resource	findability of digital assets			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000579	fair cookbook recipe	online documentation	The FAIR Cookbook’s recipes are a combination of guidance, technical, hands-on, background and review types to cover the operation steps of FAIR data management, and are classified according to the audience types, to serve all those involved in the data management life cycle. The FAIR Cookbook is for anyone working in the Life Sciences who needs guidance on applying the FAIR Principles in practice.	https://faircookbook.elixir-europe.org/content/recipes/introduction/FAIR-cookbook-audience.html	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000175	fair evaluation of repositories for data deposition	exposing data	To be able to define and deploy appropriate criteria, based on the FAIR principles, to identify the appropriate repository for a dataset. This may, for example, involve discovering the mark-up of the repository, the exchange formats and data models used, and the licensing information for each repository. Tools such as the FAIR evaluator or FAIRshake may be used to assess the FAIRness of a repository based on human-entered questionnaires or FAIRsharing resource metadata.	[PMQ]	https://orcid.org/0000-0003-2687-1982	FAIR data submission|Repository FAIRness							
obo:T4FS_0000457	fair mentoring	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|fair training	The act of mentoring around FAIR data stewardship.	PMQ	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Philippe Rocca-Serra|Susanna Sansone								
obo:T4FS_0000031	fair metrics selection skills	fairness assessment	Ability to select the appropriate FAIR metrics among the existing ones in relation to the type of digital object concerned.		Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc								
obo:T4FS_0000447	fair principle	data stewardship guideline	The FAIR principles are guidelines to improve the Findability, Accessibility, Interoperability, and Reuse of digital assets. The principles emphasise machine-actionability (i.e., the capacity of computational systems to find, access, interoperate, and reuse data with none or minimal human intervention) because humans increasingly rely on computational support to deal with data as a result of the increase in volume, complexity, and creation speed of data. The principles refer to three types of entities: data (or any digital object), metadata (information about that digital object), and infrastructure.	https://www.go-fair.org/fair-principles/	https://orcid.org/0000-0003-2687-1982				https://orcid.org/0000-0003-2687-1982	2020-10-02T14:56:15.031154Z			
obo:T4FS_0000029	fair stewardship supervising	fair training	The activity of supervision of other people to ensure FAIR data practices.	PMQ	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Philippe Rocca-Serra|Susanna Sansone								
obo:T4FS_0000162	fair stewardship training	fair training	The provision of training materials and events in and around good data stewardship.	PMQ	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Philippe Rocca-Serra|Susanna Sansone								
obo:T4FS_0000259	fair training	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|data stewardship activity	Activities in and around the provision of training, mentorship and teaching opportunities for good data management and the implementation of FAIR practices.	PMQ	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Philippe Rocca-Serra|Susanna Sansone								
obo:T4FS_0000252	fairness assessment	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|assessment	Ability to apply knowledge about FAIR metrics and assessing FAIRness using FAIR assessment tools.		Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc								
obo:T4FS_0000583	fairplus dataset maturity model indicator	evaluation indicator	The fairplus dataset maturity model indicators are used within the context of the model, which is intended as a comprehensive reference model for state-of-FAIRness improvement in research datasets. Based on the FAIR guiding principles, the DSM model defines and classifies requirements that constitute an incremental path towards improving FAIRness level for a given research dataset.	https://fairplus.github.io/Data-Maturity/	https://orcid.org/0000-0002-7702-4495	fairplus DSM model indicator							
obo:T4FS_0000584	fairplus DSM content-related indicator	fairplus dataset maturity model indicator	The fairplus DSM content-related indicators relate to what is reported in the Dataset (data) & the Dataset Descriptor (metadata).	https://fairplus.github.io/Data-Maturity/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000586	fairplus DSM hosting-environment capabilities indicator	fairplus dataset maturity model indicator	The fairplus DSM hosting-environment capabilities indicator relate to the capabilities of the hosting environment that enables and supports the use of FAIR data	https://fairplus.github.io/Data-Maturity/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000585	fairplus DSM representation and format indicator	fairplus dataset maturity model indicator	The fairplus DSM representation and format indicators relate to how the data object & metadata object are represented and formatted.	https://fairplus.github.io/Data-Maturity/	https://orcid.org/0000-0002-7702-4495						AL 5.12.22: Please note that the 'and' in this label is a direct representation of the fairplus DSM model, and not a ontological design choice.		
obo:T4FS_0000248	findability of digital assets	fair principle			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000293	flexibility in relating fair criteria to openness	fair training	Appreciate the need for flexibility in applying FAIR criteria to make data as open as possible, as closed as necessary.		Angus Whyte								
obo:T4FS_0000214	format and media migration	archiving			Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc								
obo:T4FS_0000140	foundational interoperability	'contributes to the implementation of' some 'interoperability of digital assets'|interoperability	Set of conditions that allow data exchange from one information technology system to be received by another and does not require the ability for the receiving information technology system to interpret the data.	RDMT. https://terms.codata.org/rdmt/foundational-interoperability	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000426	funding acquisition management	resource management	The consideration of available monetary resources for a specific time period to serve a specific purpose.	KH	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel								
obo:T4FS_0000532	github repository	learning medium			https://orcid.org/0000-0003-2687-1982				https://orcid.org/0000-0003-2687-1982	2020-10-01T21:03:55.425579Z			
obo:T4FS_0000505	golden record	data stewardship technical concept	Single, well-defined version of all the data entities in an organisational ecosystem. Encompasses all the data in every system of record within a particular organisation. A well-maintained, current golden record should be a fundamental element of the master data management policy for every enterprise. The word “golden” is sometimes used in information technology to express the importance of some type of source. In the context of virtualization, for example, a golden image is a template for a virtual machine, virtual desktop, servers, or hard disk drive.	RDMT. https://terms.codata.org/rdmt/golden-record	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000472	governance	data stewardship activity	1. Exercising authority to provide direction and to undertake, coordinate, and regulate activities in support of achieving this direction and desired outcomes. Governance can be thought of as the role of an organization's board of directors or its equivalent that is focused on defining that organization's purpose and the development of the strategies, objectives, values, and policies that frame how that purpose will be pursued. It includes the development of such things as mission statements, statements of organizational objectives and values, logic models, organizational performance metrics, risk management frameworks, policies and guidelines for financial and operational matters, stakeholder relations, etc.	Definition from now-deprecated CASRAI Glossary term: governance	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000282	governance and accountability model	data stewardship technical concept	Provides the relationship and process context for working together to ensure outcomes are achieved.	Definition from now-deprecated CASRAI Glossary term: governance-and-accountability-model	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000308	high performance computing management	resource management	High-performance computing (HPC) is a process for using of super computers and parallel processing techniques for solving complex computational problems. HPC technology focuses on developing parallel processing algorithms and systems by incorporating both administration and parallel computational techniques.	(modified from wikipedia)[VDA]	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel	HPC management							
obo:T4FS_0000135	high quality data	data stewardship technical concept	Data that are complete, timely, accurate, consistent, relevant, reliable, traceable, cleaned, validated, and well documented.	RDMT. https://terms.codata.org/rdmt/high-quality-data	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000495	how to find fair research data tools/services (catalogues)	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|the use of fair and open research tools or services	Know how to search for and identify FAIR services or tools that fit project needs.		Angus Whyte								
obo:T4FS_0000136	how to make your data reuseable	('competency gained through' some ('learning medium' and ('supports implementation of' some 'reuse of digital assets')))|the use of fair and open research tools or services	Understand what reuse is permitted according to the licenses or terms and conditions applicable to services, tools and their content.		Angus Whyte								
obo:T4FS_0000236	human-readable format	'contributes to the implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|data stewardship technical concept	Data and code that are commented so that humans can understand what they represent, their design, and their purpose.	RDMT. https://terms.codata.org/rdmt/human-readable-format	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000137	I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation	interoperability of digital assets			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000361	I2. (meta)data use vocabularies that follow fair principles	interoperability of digital assets			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000452	I3. (meta)data include qualified references to other (meta)data	interoperability of digital assets			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000529	identifier	'contributes to the implementation of' some 'F1. (meta)data are assigned a globally unique and persistent identifier'|data stewardship technical concept			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000169	identity management	resource management	Identity Management (IdM), also called Identity and Access Management (IAM) refers to a framework of policies and technologies for ensuring that the proper  user in an organisation has the appropriate access to technology resources  systems fall under the overarching umbrella of IT security.  IdM systems not only identify, but authenticate and authorize individuals  who will be using IT resources, but also the hardware and applications users need to access.	https://en.wikipedia.org/wiki/Identity_management	Kristina Hettne|Leighton Christiansen|Simon Hodson|Victoria Dominguez Del Angel	IAM|IdM|Identity and Access Management							
obo:T4FS_0000462	impact	data stewardship technical concept	In the context of a researcher's activities, impact is the consequence of the research and new knowledge on the advancement of the specialty. Science-based policies, regulations, services and technology transfers are some examples of ways target results can be achieved and impact demonstrated.	Definition from now-deprecated CASRAI Glossary term: impact	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000212	implement secure storage	storage security management	Configure secure storage and monitor its usage		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000331	information governance	information security	Information governance, is the overall strategy for information at an organization. Information governance balances the risk that information presents with the value that information provides. Information governance helps with legal compliance, operational transparency, and reducing expenditures associated with legal discovery.	https://en.wikipedia.org/wiki/Information_governance, accessed 8.2.22	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982						CASRAI is the source for the term, with the definition provided separately.		
obo:T4FS_0000195	information management advisor	role	Person with broad knowledge of information management disciplines and who provides guidance and support to program and staff functions on all aspects of managing the information resource.	RDMT. https://terms.codata.org/rdmt/information-management-advisor	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000437	information management specialist	role	Expert in one or more of the information management disciplines that support the effective and efficient management of information.	RDMT. https://terms.codata.org/rdmt/information-management-specialist	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000107	information security	data stewardship activity			https://orcid.org/0000-0002-7702-4495	Access management					AL 16.3.22: Changed 'information security and access management' such that access management went in as an alternative term. If required in future, we may wish to separate it out completely.		
obo:T4FS_0000155	information technology specialist	role	Information systems and technology infrastructure manager, expert, or technician.	RDMT. https://terms.codata.org/rdmt/information-technology-specialist	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000307	innovation	data stewardship activity	In the context of a researcher's activities, innovation is the development of modified or novel approaches, theories, concepts, ideas or solutions. Innovation is one of four valued outcomes.	Definition from now-deprecated CASRAI Glossary term: innovation	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000257	integrated access management	data stewardship activity	Combination of business processes, policies and technologies that allows organisations to provide secure access to confidential data. Integrated access management software is used by enterprises to control the flow of sensitive data in and out of a network.	RDMT. https://terms.codata.org/rdmt/integrated-access-management	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000455	integration	data stewardship activity	1. The act of bringing together smaller components into a single system that functions as one. 2. In the context of information technology: The end result of a process that aims to stitch together different, often disparate, subsystems so that the data contained in each becomes part of a larger, more comprehensive system that, ideally, quickly and easily shares data when needed. This often requires that organizations build a customized architecture or structure of applications to combine new or existing hardware, software and other communications.	Definition from now-deprecated CASRAI Glossary term: integration	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000086	integrity	data stewardship activity	In the context of data and network security, assurance that information can only be accessed or modified by those authorised to do so. Measures taken to ensure integrity include controlling the physical environment of networked terminals and servers, restricting access to data, and maintaining rigorous authentication practices. Data integrity can also be threatened by environmental hazards, such as heat, dust, and electrical surges.	RDMT. https://terms.codata.org/rdmt/integrity	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000306	intellectual leadership	data stewardship soft skill	The capacity to influence stakeholders and the direction of research activities; the ability to shape others' understanding in ways that capture interest, inform and gain support; and, the capacity to influence the actions and opinions of others.	Definition from now-deprecated CASRAI Glossary term: intellectual-leadership/	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000112	interface testing	assessment	Testing conducted to evaluate whether systems or components pass data and control correctly to each other.	Definition from now-deprecated CASRAI Glossary term: interface-testing	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000189	international chemical identifier	'contributes to the implementation of' some 'F1. (meta)data are assigned a globally unique and persistent identifier'|persistent identifier	A non-proprietary identifier for chemical substances that can be used in printed and electronic data sources thus enabling easier linking of diverse data compilations.	RDMT. https://terms.codata.org/rdmt/international-chemical-identifier	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000274	international standard	'contributes to the implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|data stewardship technical concept	Standard that is used in multiple nations and whose development process is open to representatives from all countries.	RDMT. https://terms.codata.org/rdmt/international-standard	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000020	interoperability	'contributes to the implementation of' some 'interoperability of digital assets'|data stewardship technical concept	The capability to communicate, execute programs, or transfer data among various functional units in a useful and meaningful manner that requires the user to have little or no knowledge of the unique characteristics of those units. Foundational, syntactic, and semantic interoperability are the three necessary aspects of interoperability.	Definition from now-deprecated CASRAI Glossary term: interoperability	v								
obo:T4FS_0000014	interoperability of digital assets	fair principle			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000172	investigate open innovation opportunities	engaging in open innovation beyond academia	Explore the potential application domain/sociental implication of the project work and the communities of users/partners.		Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000143	knowledge of authorisation management	authorisation management	Bin for types of Knowledge related to Authorization management.		leightonlc								
obo:T4FS_0000289	knowledge of change management	change management	Bin for types of Knowledge related to Change management.		leightonlc								
obo:T4FS_0000526	knowledge of cloud computing environment management	cloud computing environment management	Bin for types of Knowledge related to Cloud computing environment management.		leightonlc								
obo:T4FS_0000228	knowledge of data management costs management	data management costs management	Bin for types of Knowledge needed for Data management costs management.		leightonlc								
obo:T4FS_0000321	knowledge of funding acquisition management	funding acquisition management	Bin for types of Knowledge related to Funding acquisition management.		leightonlc								
obo:T4FS_0000456	knowledge of high performance computing management	high performance computing management	Bin for types of Knowledge related to High performance computing management.		leightonlc								
obo:T4FS_0000152	knowledge of identity management	identity management	Bin for types of Knowledge related to Identity management		leightonlc								
obo:T4FS_0000157	knowledge of preservation costs management	preservation costs management	Bin for types of Knowledge related to Preservation costs management.						leightonlc	2019-10-17T15:17:32.816776Z			
obo:T4FS_0000499	knowledge of provenance information management	provenance information management	Bin for types of Knowledge related to Provenance information management.						leightonlc	2019-10-17T15:17:02.313897Z			
obo:T4FS_0000378	knowledge of service level management	service level management	Bin for types of Knowledge related to Service level management.						leightonlc	2019-10-17T15:18:53.73274Z			
obo:T4FS_0000091	knowledge of storage management	storage management	Bin for types of Knowledge related to Storage management.		leightonlc								
obo:T4FS_0000490	knowledge of theories underlying fair implementation	fair training	Understand the concepts underpinning FAIR criteria.		Angus Whyte								
obo:T4FS_0000206	knowledge of workflow technologies management	workflow technologies management	Bin for types of Knowledge related to Workflow technologies management.						leightonlc	2019-10-17T15:16:10.561925Z			
obo:T4FS_0000367	knowledge to choose fair data handling approaches appropriate to the research phenomena	fair training	Select data handling approaches likely to make data as FAIR as possible, considering what the data is about and its purpose in the research.		Angus Whyte								
obo:T4FS_0000296	knowledge to contextualise fair principles to domain	fair training	Know how data handling practices in the domain make FAIR criteria more or less easy to implement.		Angus Whyte								
obo:T4FS_0000341	knowledge to relate fair data assessment to research community norms	fair training	Know how the acceptability of research data FAIRness depends on the research community norms e.g. concepts of data and methods for deriving valid knowledge.		Angus Whyte								
obo:T4FS_0000519	learning medium	'independent continuant'|'confers competency about' some 'data stewardship activity'|'requires competency about' some 'data stewardship activity'|'confers knowledge about' some 'data stewardship technical concept'|'requires knowledge about' some 'data stewardship technical concept'|'confers practical skill about' some 'data stewardship technical concept'|'requires practical skill about' some 'data stewardship technical concept'|'reference URL' some xsd:anyURI|'requires/improves personal attribute' some 'data stewardship soft skill'|'supports implementation of' some 'data stewardship guideline'	The medium through which learning has been provided. For example, through a course, slides, video presentation, online documentation, wiki pages or others.		https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982				https://orcid.org/0000-0003-2687-1982	2020-09-22T13:19:57.012225Z			
obo:T4FS_0000334	legacy data	data	Older data that can no longer be accessed or processed easily because they are stored in obsolete formats or systems.	RDMT. https://terms.codata.org/rdmt/legacy-data	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000184	linked open data	data stewardship technical concept	Data where relationships/connections between them are available to allow easy data access.	RDMT. https://terms.codata.org/rdmt/linked-open-data	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000229	logistical support	project management activities			https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Philippe Rocca-Serra|Susanna Sansone								
obo:T4FS_0000328	long-term preservation	preservation	Continued access to digital materials, or at least to the information contained in them, indefinitely.	RDMT. https://terms.codata.org/rdmt/long-term-preservation	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000427	machine access via api	data stewardship technical concept	To be able to use programmatic methods to access a resource's API to query and extract an appropriate subset of data.	PMQ	https://orcid.org/0000-0003-2687-1982	API access|Machine actionable search							
obo:T4FS_0000256	machine readable	Obsolete Class	In a form that can be used and understood by a computer.	RDMT. https://terms.codata.org/rdmt/machine-readable	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466						AL 5.12.22: Deprecated because of its similarity with http://purl.obolibrary.org/obo/T4FS_0000551. We don't need to be going to the level of granularity that the concept of machine readability needs to be modelled as well as machine readable format.	1	
obo:T4FS_0000551	machine-readable format	data stewardship technical concept	A machine-readable format is a structured format that can be processed by a computer. Such formats can either be intended solely for machine processing (e.g. XML or RDF), or may be both human and machine accessible via appropriate markup (e.g. HTML).	Modified by AL from Wikipedia, https://en.wikipedia.org/wiki/Machine-readable_data, accessed 6.5.22	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982						AL 5.12.22: Merged with now-obsolete 'machine readable' (http://purl.obolibrary.org/obo/T4FS_0000256), as we do not need that level of granularity. AL 6.5.22: The original CASRAI term (https://casrai.org/term/machine-readable-format/) has an identical source definition with 'Digital materials', and therefore has been removed. 		
obo:T4FS_0000343	maintaining persistent identifiers	understanding persistent identifiers							https://orcid.org/0000-0003-2687-1982	2020-10-02T14:23:22.115275Z			
obo:T4FS_0000058	manage access	information security	Monitor the status of information access of different stakeholder groups. Evaluate new access request and authorize or decline it. Update the organizational information access overview.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000322	manage access control	access control and management	Monitor the authorised parties' access to data and keep it up to date.		Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000278	manage datasets in a repository	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|data management	Implement the policies that govern the arrangement, naming, descriptive metadata, provenance metadata, representation metadata, administrative metadata, access controls, retention, disposition, integrity, and replication of digital objects.	Definition from now-deprecated CASRAI Glossary term: manage-datasets-in-a-repository	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000068	manage metadata catalog	('competency gained through' some ('learning medium' and ('supports implementation of' some 'fair principle')))|resource management	Implement the policies that govern the choice of metadata schema, reserved vocabularies, metadata organization in tables, and metadata properties (creation date, access control, ownership, etc.).	Definition from now-deprecated CASRAI Glossary term: manage-metadata-catalog	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000415	manager	role	Program delivery managers and support function managers, at all levels in an institution who are accountable for the direct delivery and support of programs and services within their domain of business responsibility.	Definition from now-deprecated CASRAI Glossary term: manager	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000314	managing research	data stewardship activity	In the context of a researcher’s activities, Managing research is the processes related to the planning, organizing, setting objectives, controlling and evaluating of RDA activities and their associated human and financial resources. It includes the provision of leadership to, and assessment of, other scientists, engineers, technologists, and/or other staff. Managing research is one of the three research contexts in which a researcher is expected to conduct his/her activities. Managing research is distinct from the position-based role of a research manager.	Definition from now-deprecated CASRAI Glossary term: managing-research	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000503	mandatory standard	'contributes to the implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|data stewardship technical concept	Requires compliance because of a government statute or regulation, an organization internal policy, or contractual requirement. Failure to comply with a mandatory standard usually carries a sanction, such as civil or criminal penalties, or loss of employment.	Definition from now-deprecated CASRAI Glossary term: mandatory-standard	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000339	medium-term preservation	preservation	Continued access to digital materials beyond changes in technology for a defined period of time but not indefinitely.	RDMT. https://terms.codata.org/rdmt/medium-term-preservation	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000465	meeting/conference organisation	project management activities	Meeting/conference organisation is a project management activity that encompasses all of the steps required to run a meeting or conference.		https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Philippe Rocca-Serra|Susanna Sansone								
obo:T4FS_0000527	metadata	'contributes to the implementation of' some 'F2. data are described with rich metadata'|data stewardship technical concept	Data about data. It is data (or information) that defines and describes the characteristics of other data. It is used to improve the understanding and use of the data.	RDMT. https://terms.codata.org/rdmt/metadata	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	Data documentation							
obo:T4FS_0000096	metadata catalogue	'contributes to the implementation of' some 'F4. (meta)data are registered or indexed in a searchable resource'|data stewardship technical concept	Catalogue containing metadata records that enables services to find data and services.	RDMT. https://terms.codata.org/rdmt/metadata-catalogue	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466				https://orcid.org/0000-0003-2687-1982				
