LABEL	Parent	Definition	IAO:0000117	IAO:0000118	obo:T4FS_0000564	obo:T4FS_0000565	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment
LABEL	SC % SPLIT=|	A definition	A 'term editor'	A Alternative term	A alternative definition	A alternative definition source	A created by	A creation date	A comment
Learning medium	'Reference URL' some xsd:anyURI|'confers/requires competency about' some 'Data stewardship activity'|'confers/requires knowledge about' some 'Data stewardship technical concept'|'confers/requires practical skill about' some 'Data stewardship technical concept'|'requires/improves personal attribute' some 'Data stewardship soft skill'|'supports implementation of' some 'Data stewardship guideline'	The medium through which learning has been provided. For example, through a course, slides, video presentation, online documentation, wiki pages or others.	Allyson Lister|Peter McQuilton				Peter McQuilton	2020-09-22T13:19:57.012225Z
Legacy data	Data stewardship technical concept	Data that fall into the category of dark data or at-risk data.	Allyson Lister|Peter McQuilton
Linked open data	Data stewardship technical concept	Data where relationships/connections between them are available to allow easy data access. A typical case of a large Linked dataset is DBPedia (http://dbpedia.org/), which essentially makes the content of Wikipedia available in RDF. This related collection of interrelated datasets is stored on the Web and available via a common format -RDF.	Allyson Lister|Peter McQuilton
Logistical support	Project management activities		Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
Long-term preservation	Preservation	Long-term preservation - Continued access to digital materials, or at least to the information contained in them, indefinitely.	Allyson Lister|Peter McQuilton
Machine access via API	Machine readable	To be able to use programmatic methods to access a resource's API to query and extract an appropriate subset of data.	Peter McQuilton	API access|Machine actionable search
Machine readable	Data stewardship technical concept	In a form that can be used and understood by a computer.	Allyson Lister|Peter McQuilton
Machine-readable format	Machine readable	A machine-readable format is a structured format that can be processed by a computer. Such formats can either be intended solely for machine processing (e.g. XML or RDF), or may be both human and machine accessible via appropriate markup (e.g. HTML).	Allyson Lister|Peter McQuilton						AL 6.5.22: The original CASRAI term (https://casrai.org/term/machine-readable-format/) has an identical source definition with 'Digital materials', and therefore has been removed.
Maintaining persistent identifiers	'supports implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Understanding persistent identifiers						Peter McQuilton	2020-10-02T14:23:22.115275Z
Manage access	Information security	Monitor the status of information access of different stakeholder groups. Evaluate new access request and authorize or decline it. Update the organizational information access overview.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Manage access control	Access control and management	Monitor the authorised parties' access to data and keep it up to date.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Manage datasets in a repository	'supports implementation of' some 'FAIR principle'|Data management	Implement the policies that govern the arrangement, naming, descriptive metadata, provenance metadata, representation metadata, administrative metadata, access controls, retention, disposition, integrity, and replication of digital objects.	Allyson Lister|Peter McQuilton
Manage metadata catalog	'supports implementation of' some 'FAIR principle'|Resource management	Implement the policies that govern the choice of metadata schema, reserved vocabularies, metadata organization in tables, and metadata properties (creation date, access control, ownership, etc.).	Allyson Lister|Peter McQuilton
Manager	Role	Program delivery managers and support function managers, at all levels in an institution who are accountable for the direct delivery and support of programs and services within their domain of business responsibility.	Allyson Lister|Peter McQuilton
Managing research	Data stewardship activity	In the context of a researcher’s activities, Managing research is the processes related to the planning, organizing, setting objectives, controlling and evaluating of RDA activities and their associated human and financial resources. It includes the provision of leadership to, and assessment of, other scientists, engineers, technologists, and/or other staff. Managing research is one of the three research contexts in which a researcher is expected to conduct his/her activities. Managing research is distinct from the position-based role of a research manager.	Allyson Lister|Peter McQuilton
Mandatory standard	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	Requires compliance because of a government statute or regulation, an organization internal policy, or contractual requirement. Failure to comply with a mandatory standard usually carries a sanction, such as civil or criminal penalties, or loss of employment.	Allyson Lister|Peter McQuilton
Medium-term preservation	Preservation	Medium-term preservation - Continued access to digital materials beyond changes in technology for a defined period of time but not indefinitely.	Allyson Lister|Peter McQuilton
Meeting/conference organisation	Project management activities	Meeting/conference organisation is a project management activity that encompasses all of the steps required to run a meeting or conference.	Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
Metadata	'contributes to the implementation of' some 'F2. Data are described with rich metadata'|Data stewardship technical concept	Literally, “data about data”; data that defines and describes the characteristics of other data, used to improve both business and technical understanding of data and data-related processes. Business metadata includes the names and business definitions of subject areas, entities and attributes, attribute data types and other attribute properties, range descriptions, valid domain values and their definitions. Technical metadata includes physical database table and column names, column properties, and the properties of other database objects, including how data is stored. Process metadata is data that defines and describes the characteristics of other system elements (processes, business rules, programs, jobs, tools, etc.). Data stewardship metadata is data about data stewards, stewardship processes and responsibility assignments.	Allyson Lister|Peter McQuilton	Data documentation
Metadata catalogue	'contributes to the implementation of' some 'F4. (Meta)data are registered or indexed in a searchable resource'|Data stewardship technical concept	A catalogue containing metadata records in XML-encoded (machine-readable and human-readable) format that enables services to find data and services.	Allyson Lister|Peter McQuilton				Peter McQuilton
Metadata creation	Curation	Metadata creation concerns the creation of data that provides information about characteristics, aspects or context of other data entities such as a dataset or other digital or analog object.	Allyson Lister
Metadata dataset	'contributes to the implementation of' some 'F4. (Meta)data are registered or indexed in a searchable resource'|Metadata record	The set of metadata describing a specific dataset.	Allyson Lister|Peter McQuilton
Metadata exposure	'supports implementation of' some 'Accessibility of digital assets'|'supports implementation of' some 'FAIR principle'|'supports implementation of' some 'Findability of digital assets'|'supports implementation of' some 'Interoperability of digital assets'|'supports implementation of' some 'Reuse of digital assets'|Exposing data	Metadata exposure is the process of finding, identifying, selecting and acquiring/obtaining access to a metadata entity.	Allyson Lister|Nancy Hoebelheinrich						AL 22.3.22: Refactored from 'metadata creation and exposure'. Metadata creation has moved to the Curation hierarchy.
Metadata record	'contributes to the implementation of' some 'F4. (Meta)data are registered or indexed in a searchable resource'|Metadata catalogue	A collection of data defined by a theme, category, which reflects what is being measured, observed, monitored at the various sites. The Metadata Record is an information resource of business value.	Allyson Lister|Peter McQuilton
Metadata search via metadata providers	'has/wants competency in' some 'Data stewardship activity'|Data discovery	To be able to identify and process metadata over the internet, sourced from a variety of metadata providers and schemata.	Peter McQuilton	Metadata processing|Metadata search
Minimal metadata	'contributes to the implementation of' some 'F2. Data are described with rich metadata'|Metadata	A description with very little curation that would include at least a name and PID of a data object. Minimal metadata is only marginally targeted at discovery since there is much better infrastructure to accomplish this.	Allyson Lister
National standard	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	From an official perspective, a national standard is adopted by a national standards body (e.g., Standards Council of Canada, American National Standards Institute, British Standards Institution) and made available to the public. Practically speaking, however, a national standard is any standard that is widely used and recognized within a country. In this context, even government standards, such as those issued by the Occupational Safety and Health Administration (OSHA), can be considered national standards.	Allyson Lister|Peter McQuilton
Noisy data	Data stewardship technical concept	Meaningless data, including: Any data that cannot be understood and interpreted correctly by machines, such as unstructured text; any data that has been received, stored, or changed in such a manner that it cannot be read or used by the program that originally created it.	Allyson Lister|Peter McQuilton
Non identifiable data	Data stewardship technical concept	Data that could not lead to the identification of a specific object of interest. These may be data that have been de-identified, or that could not lead to identifiable information in the first place.	Allyson Lister|Peter McQuilton						AL 6.5.22: Modifed CASRAI definition to distinguish this term from 'non personally identifiable information.' Further work may determine whether or not both terms are required.
Non personally identifiable information	Data stewardship technical concept	Data that could not lead to the identification of a specific individual, to distinguishing one person from another, or to personally identifiable information. These may be data that have been de-identified, or that could not lead to personally identifiable information in the first place.	Allyson Lister|Peter McQuilton
Normalization	Data stewardship technical concept	The process of organizing data into tables in such a way that the results of using the database are always unambiguous and as intended. Normalization is typically a refinement process after the initial exercise of identifying the data objects that should be in the database, identifying their relationships, and defining the tables required and the columns within each table.	Allyson Lister|Peter McQuilton
Online documentation	Learning medium		Peter McQuilton				Peter McQuilton	2020-10-01T20:53:59.107153Z
Online workbook	Online documentation						Peter McQuilton	2020-10-01T20:52:57.551905Z
Ontologist	Role		Allyson Lister						AL 15.3.22: Added for FAIR Cookbook integration.
Open Archives Initiative Protocol for Metadata Harvesting	Machine access via API	A low-barrier mechanism for repository interoperability. Data Providers are repositories that expose structured metadata via OAI-PMH. Service Providers then make OAI-PMH service requests to harvest that metadata. OAI-PMH is a set of six verbs or services that are invoked within HTTP.	Peter McQuilton
Open access publishing	Publish data		Allyson Lister|Celia van Gelder|Mateusz Kuzak|Yan Wang						AL 22.3.22: refactored 'open access publishing and self-archiving' to be two separate concepts ('open access publishing', and 'self-archiving') according to T4FS best practices. Self-archiving did not have to be created because we already had self-archive, which was then moved to the Archiving hierarchy. 'publish open access' was also removed in favour of this term as they were too similar to have without the potential for confusion by users.
Open data	Data stewardship technical concept	Strutured data that are accessible, machine-readable, usable, intelligible, and freely shared. Open data can be freely used, re-used, built on, and redistributed by anyone - subject only, at most, to the requirement to attribute and sharealike.	Allyson Lister|Peter McQuilton
Open government	Data stewardship technical concept	A governing culture that holds that the public has the right to access the documents and proceedings of government to allow for greater openness, accountability, and engagement.	Allyson Lister|Peter McQuilton
Operational management	Data stewardship soft skill	Ongoing organizational activities associated with supporting functional elements, as opposed to project elements. Operational management also includes support of products that the organization has created through project activity.	Allyson Lister|Peter McQuilton
Organizational leadership	Data stewardship soft skill	Organizational leadership is: (a) The ability to attract, assess, mobilize and focus energies and talent to work towards a shared purpose aligned with the mandate of the organization; (b) The ability to change culture, processes and priorities within the organization; and, (c) The ability to mentor.	Allyson Lister|Peter McQuilton
Original repository	Data store	A type of repository where the original copy of data was stored and probably a data identifier registered.	Allyson Lister|Peter McQuilton
PID attribute	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	A single data element related to a PID and part of its record content.	Allyson Lister|Peter McQuilton
PID domain	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	For a single identifier, the class of entity it refers to. For a PID system, the typical class of entities it is intended to be used for. Examples include: digital objects, physical objects, bodies, actors.	Allyson Lister|Peter McQuilton
PID record	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	A type of record (and organization) that stores an instance of an executable/understandable PID. The content of a PID record distinguishes a registered digital or data object from other DOs. A PID record is a type of record that includes property information that characterizes the digital object it is identifying. Important parts of a PID record are location and checksum. However there is a large variation in usage. In some data models the PID is simply used as a unique label with an empty record. A PID record has a lifecycle including creation, publication, Curation and the destruction.	Allyson Lister|Peter McQuilton
PID resolution	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	The process of resolving a PID to a useful state of information about a digital object by using a globally available system.	Allyson Lister|Peter McQuilton
PID service	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	A service that provides a connection between a PID and its target object.	Allyson Lister|Peter McQuilton
PID system	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	Consists of at least one PID resolver, a name schema and a defined mechanism for issuing PIDs that conform to the name schema. Examples include: DOI, Handle System, URN, ARK, PURL, etc.	Allyson Lister|Peter McQuilton
Patent application	Ethical application of patents, licenses	Choose the proper type of patent for the project data and apply for the patent chosen.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Peer review	Assessment	A process by which a scholarly work (such as a paper or a research proposal) is checked by a group of experts in the same field to make sure it meets the necessary standards before it is published or accepted.	Allyson Lister|Peter McQuilton
Persistent identifier	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Identifier	A persistent identifier is a long-lasting reference to a digital object that gives information about that object regardless what happens to it. Developed to address link rot, a persistent identifier can be resolved to provide an appropriate representation of an object whether that objects changes its online location or goes offline.	Allyson Lister|Peter McQuilton
Persistent uniform resource locator	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	This is a URL. However, instead of pointing directly to the location of an Internet resource, a PURL points to an intermediate resolution service. The PURL resolution service associates the PURL with the actual URL and returns that URL to the client.	Allyson Lister|Peter McQuilton
Personal information privacy	Data stewardship technical concept	The World Wide Web Consortium’s Platform for Personal Privacy Project (P3P) offers specific recommendations for practices that will let users define and share personal information with Web sites that they agree to share it with. The P3P incorporates a number of industry proposals, including the Open Profiling Standard (OPS). Using software that adheres to the P3P recommendations, users will be able to create a personal profile, all or parts of which can be made accessible to a Web site as the user directs. A tool that will help a user decide whether to trust a given Website with personal information is a Statement of Privacy Policy that a Web site can post.	Allyson Lister|Peter McQuilton
Personally identifiable information	Personal information privacy	1. Data which relate to a living individual who can be identified (a) from those data, or (b) from those data and other information which is in the possession of, or is likely to come into the possession of, the data controller, and includes any expression of opinion about the individual and any indication of the intentions of the data controller or any other person in respect of the individual. 2. Any data that could potentially identify a specific individual. Any information that can be used to distinguish one person from another and can be used for de-anonymizing anonymous data can be considered personally identifiable data. 3. Data are identifiable if the information contains the name of an individual, or other identifying items such as birth date, address or geocoding. Data will be identifiable if the information contains a unique personal identifier and the holder of the information also has the master list linking the identifiers to individuals. Data may also be identifiable because of the number of different pieces of information known about a particular individual. It may also be possible to ascertain the identity of individuals from aggregated data where there are very few individuals in a particular category. Identifiability is dependent on the amount of information held and also on the skills and technology of the holder.	Allyson Lister|Peter McQuilton
Pipe separated values	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	A file that contains the values in a table as a series of ASCII text lines organized so that each column value is separated by a pipe.	Allyson Lister|Peter McQuilton
Presentation slides	Learning medium		Peter McQuilton				Peter McQuilton	2020-10-01T20:52:43.543314Z
Presentation slides with interactive exercises	Presentation slides						Peter McQuilton	2020-11-16T22:18:14.764875Z
Preservation	Archiving	An activity within archiving in which specific items of data are maintained over time so that they can still be accessed and understood through changes in technology.	Allyson Lister|Peter McQuilton	Conservation
Preservation costs management	Resource management	Planning for and controlling the present and future costs of the conservation of data, including technical storage, fixed costs, and staff resources.	Kristina Hettne|Leighton Christiansen|Simon Hodson|Victoria Dominguez Del Angel
Preservation metadata	'contributes to the implementation of' some 'F2. Data are described with rich metadata'|Metadata	Documents actions that have been undertaken to preserve a digital resource such as migrations and checks sum calculations.	Allyson Lister|Peter McQuilton
Principal Investigator	Manager	The Principal Investigator (P.I.) is a researcher who has a research leadership role and is the point of contact for a project or partnership that applies the scientific method, historical method, or other research methodology for the advancement of knowledge resulting in independent, objective, high quality, traceable, and reproducible results. The P.I. has primary responsibility for the intellectual direction and integrity of the research or research-related activity, including data production, findings and results, and ensures ethical conduct in all aspects of the research process including but not limited to the treatment of human and animal subjects, conflicts of interest, data acquisition, sharing and ownership, publication practices, responsible authorship, and collaborative research and reporting. While various tasks may be delegated to team members, some of whom may have greater expertise in specific areas, the P.I. is familiar with the various technical and scientific aspects of a project and how they fit together, is able to identify and remediate gaps, and ensure communication within the team and with users of the research data and results.	Allyson Lister|Peter McQuilton
Principal Investigator	Role		Allyson Lister						AL 16.3.22 Added as part of FAIR Cookbook integration. Useful for directing PIs to high-level training material or presentations, to ensure they know why e.g. data stewardship is vital.
Privacy governance	Governance	Monitoring the risk to privacy posed by data requests from researchers, and the practices of data custodians in providing data (information governance) to ensure that confidentiality is protected. Such governance requires specialized knowledge of technology, law, and statistical methods.	Allyson Lister|Peter McQuilton
Privacy-preserving data linkage	Data stewardship technical concept	Data linkage where the resulting product has been de-identified.	Allyson Lister|Peter McQuilton
Procurement officer	Role		Allyson Lister						AL 16.3.22: Added as part of FAIR Cookbook integration. Useful for such roles to be able to understand the cost of e.g. making things FAIR (and how to deal with it), but also the benefits.
Program governance	Governance	The process of developing, communicating, implementing, monitoring, and assuring the policies, procedures, organizational structures, and practices associated with a given program.	Allyson Lister|Peter McQuilton
Program manager	Manager	The person responsible for creating the organizational environment culture by providing clear direction and circumstances that allow people to be successful. The program manager is judged on the elements time, cost, and scope, cumulatively for all the projects and operations within the program. Program management decisions are both tactical and strategic in nature. The strategy aspects of these decisions must consider multidimensional impacts beyond the near-term delivery dates of the project. In addition to delivery and execution, the program manager has to also be concerned with the overall health and effectiveness of the program over the long term.	Allyson Lister|Peter McQuilton
Project lifecycle	Data stewardship technical concept	Describes the processes and tasks that must be completed to produce a product or service. Different project lifecycles exist for specific products and services. (For example, the lifecycle followed to build a house is very different from the lifecycle followed to develop a software package.	Allyson Lister|Peter McQuilton
Project management	'has/wants competency in' some 'Skills for resource management'|Resource management	The practice of initiating, planning, executing, controlling, and closing the work of a team to achieve specific goals and meet specific success criteria at the specified time.	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel	PM
Project management activities	'confers/requires competency about' some 'Advise and mentor'|Data stewardship activity	The practice of initiating, planning, executing, controlling, and closing the work of a team in relation to FAIR data stewardship.	Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
Project management lifecycle	Data stewardship technical concept	Defines how to manage a project. It will always be the same, regardless of the project lifecycle being employed.	Allyson Lister|Peter McQuilton
Project manager	Manager	The person who is tasked with delivering a project within the boundaries and framework established by the program manager. The project manager is and should be delivery and execution focused and is judged on the elements of time, cost, and scope of the project. The person responsible for ensuring that the Project Team completes the project. The Project Manager develops the Project Plan with the team and manages the teamís performance of project tasks. It is also the responsibility of the Project Manager to secure acceptance and approval of deliverables from the Project Sponsor and Stakeholders. The Project Manager is responsible for communication, including status reporting, risk management, escalation of issues that cannot be resolved in the team, and, in general, making sure the project is delivered in budget, on schedule, and within scope.	Allyson Lister|Peter McQuilton
Project team member	Role	Responsible for executing tasks and producing deliverables as outlined in the Project Plan and directed by the Project Manager, at whatever level of effort or participation has been defined for them.	Allyson Lister|Peter McQuilton
Provenance	'contributes to the implementation of' some 'Interoperability of digital assets'|Data stewardship technical concept	A type of historical information or metadata about the origin, location or the source of something, or the history of the ownership or location of an object or resource including digital objects. For example, information about the Principal Investigator who recorded the data, and the information concerning its storage, handling, and migration.	Allyson Lister|Peter McQuilton
Provenance information management	'has/wants competency in' some 'Data stewardship activity'|'has/wants competency in' some 'Skills for resource management'|Resource management	The activity of recording provenance for data and software. Knowledge about provenance vocabularies, for example PROV-O and models provenance such as nanopublications.	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel
Provenance metadata	'contributes to the implementation of' some 'F2. Data are described with rich metadata'|Metadata	Information concerning the creation, attribution, or version history of managed data. Provenance metadata that indicates the relationship between two versions of data objects and is generated whenever a new version of a dataset is created. Examples include: (i) the name of the program that generated the new version, (ii) the commit id of the program.	Allyson Lister
Publish data	Exposing data		Allyson Lister|Celia van Gelder|Mateusz Kuzak|Peter McQuilton|Yan Wang	Release data					AL 9.3.22. Removed from 'FAIR4S defined activity' class to better integrate with the T4FS hierarchy. AL 5.5.22: removed "Publishing and archiving data" and "Publish and archive data" alternative terms, as the two actions are not the same.
Publish output in a repository	Publish data	Deposit research output (software, data and publication together with documentation) in  previousy selected repositories.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Quality assessment	Assessment		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
R1. (Meta)data are richly described with a plurality of accurate and relevant attributes	Reuse of digital assets		Peter McQuilton
R1.1 (Meta)data are released with a clear and accessible data usage license	R1. (Meta)data are richly described with a plurality of accurate and relevant attributes		Peter McQuilton	Data license
R1.2 (Meta)data are associated with detailed provenance	R1. (Meta)data are richly described with a plurality of accurate and relevant attributes		Peter McQuilton
R1.3 (Meta)data meet domain-relevant community standards	R1. (Meta)data are richly described with a plurality of accurate and relevant attributes		Peter McQuilton
Raw data	Data stewardship technical concept	Data that have not been processed for meaningful use. Although raw data have the potential to become information, they require selective extraction, organization, and sometimes analysis and formatting for presentation. As a result of processing, raw data sometimes end up in a database, which enables the data to become accessible for further processing and analysis.	Allyson Lister|Peter McQuilton
Re-use	Reuse of digital assets	Use of content outside of its original intention.	Allyson Lister|Peter McQuilton
Real-time data	Data stewardship technical concept	Data that are being received, processed and stored at the time of their occurrence with only small delays. Examples include: stock quotes, manufacturing statistics, Web server loads, data warehouse activity and sensor feeds to data collectors. Real-time data are data streams that are typically generated by sensors and received via direct networking connections.	Allyson Lister|Peter McQuilton
Recognise and acknowledge contributions	'supports implementation of' some 'I3. (Meta)data include qualified references to other (meta)data'|Exposing data	To clearly communicate the existence of contributions from different individuals / projects to the compilation of a given dataset, in such a way that can be consistently cited.	Laura Molloy	attribution|credit
Record	Data stewardship technical concept	1. A collection of data items arranged for processing by a program. Multiple records are contained in a file or dataset. Typically, records can be of fixed-length or be of variable length with the length information contained within the record. 2. A record (sometimes called a row) is a group of fields (sometimes called columns) within a table that are relevant to a specific entity.	Allyson Lister|Peter McQuilton
Record provenance information	'contributes to the implementation of' some 'F2. Data are described with rich metadata'|Metadata	Information for a data object that includes: * the person who deposited the data object in the repository, * the source of the data object, * the date when the object was deposited, and * authenticity information needed to link the data object to its original source.	Allyson Lister|Peter McQuilton
Record standardization	Data stewardship technical concept	A process in which files are first parsed (assigned to appropriate fields in a record) and then translated to a common format. For example, if an original record had the client’s name and address as “Bob Jones, VP Acme. Co., 15 S. Main St, Brooklyn” the standardized record might read “Bob Jones, Vice President, Acme Corporation, 15 South Main Street, Brooklyn, New York”. Data often lack consistency simply because there are a many of ways of saying the same thing. Standardizing the record ensures that when a query is run for a particular field, accurate results will be returned.	Allyson Lister|Peter McQuilton
Reference model	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	A design covering a class of frameworks with the following characteristics: (1) it can be used to generate more specific models that still belong to the class and (2) it can be used to compare a concrete framework design to identify whether it belongs to the same class.	Allyson Lister|Peter McQuilton
Reference resolution	Data stewardship technical concept	The process of resolving a reference to useful information by using a globally available system.	Allyson Lister|Peter McQuilton
Regional standard	Data stewardship technical concept	A Regional standard is one that applies across a multi-nation region. Most countries have their own national standards-making bodies, which in turn may also group together to make regional standards. For example, national standards bodies in Europe are also members of the European Committee for Standardization (CEN) as well as members of ISO. The use of such standards may be voluntary, or they may be referenced in regulation (therefore mandatory).	Allyson Lister|Peter McQuilton						AL 9.3.22: Removed reference to CASRAI (https://casrai.org/term/regional-standard/), as the definition was unsuitable.
Registered data	Data stewardship technical concept	Data that have gone through a registration process and have been assigned an identifier metadata to aid in their search and retrieval.	Allyson Lister|Peter McQuilton
Registry	Data stewardship technical concept	A database containing information about trusted repositories that are provided by the repository managers and are useful for human and machine users. It is a registry information system on which a register is maintained. These registries do not contain information about all metadata descriptions of digital objects, nor do they offer a list of PIDs of all stored digital objects. They do offer information based on standardized types on how to retrieve such information (e.g., the port under which OAI-PMH can be accessed to offer metadata). It is a set of files containing identifiers assigned to items with descriptions of the associated items. It is assignment of a permanent, unique and unambiguous identifier to an item.	Allyson Lister|Peter McQuilton
Relational database	Data stewardship technical concept	A collection of data items organized as a set of formally-described tables from which data can be accessed or reassembled in many different ways without having to reorganize the database tables. The standard user and application program interface to a relational database is the structured query language (SQL).	Allyson Lister|Peter McQuilton
Relations	Data stewardship technical concept	Indicates how the different components within a system are linked to fulfill the tasks. Relations are thus defined by the services they are making use of and by the interface specifications.	Allyson Lister|Peter McQuilton
Remote access	Data stewardship technical concept	The ability to get access to a computer or a network from a remote distance. Access may be through an Internet service provider (ISP) or through a dedicated line between a computer or a remote local area network and the central or main corporate local area network. A dedicated line is more expensive and less flexible but offers faster data rates.	Allyson Lister|Peter McQuilton
Remote data access	Data stewardship technical concept	The ability to access and download data from a repository.	Allyson Lister|Peter McQuilton
Repository	Data stewardship technical concept	Repositories preserve, manage, and provide access to many types of digital materials in a variety of formats.	Allyson Lister|Peter McQuilton
Repository access	Repository	In accessing a repository one uses a client (application) to discover relevant digital objects within a repository, and then retrieve a copy of a desired digital object.	Allyson Lister|Peter McQuilton
Repository certification schemes	Repository						Peter McQuilton	2021-02-17T22:10:11.837519Z
Reproducible research	Reuse of digital assets	Published results can be replicated using the documented data, code, and methods employed by the author or provider without the need for any additional information or needing to communicate with the author or provider.	Allyson Lister|Peter McQuilton
Repurposed data	Data stewardship technical concept	New datasets obtained by combining data appropriately from a variety of existing files, generating new data products that did not previously exist. Repurposed data result from data wrangling.	Allyson Lister|Peter McQuilton
Research data	Data stewardship technical concept	Data that are used as primary sources to support technical or scientific enquiry, research, scholarship, or artistic activity, and that are used as evidence in the research process and/or are commonly accepted in the research community as necessary to validate research findings and results. All other digital and non-digital content have the potential of becoming research data. Research data may be experimental data, observational data, operational data, third party data, public sector data, monitoring data, processed data, or repurposed data.	Allyson Lister|Peter McQuilton
Research data format	Data stewardship technical concept	Research data format is a generic term encompassing the concept of a standardised format for research data.	Allyson Lister|Peter McQuilton						AL 9.3.2022: The original CASRAI definition is unsuitable (https://casrai.org/term/research-data-format), therefore I have changed the definition to something more generic.
Research data management	Data management	Data Management refers to the storage, access and preservation of data produced from a given investigation. Data management practices cover the entire lifecycle of the data, from planning the investigation to conducting it, and from backing up data as it is created and used to long term preservation of data deliverables after the research investigation has concluded. Specific activities and issues that fall within the category of data management include: File naming (the proper way to name computer files); data quality control and quality assurance; data access; data documentation (including levels of uncertainty); metadata creation and controlled vocabularies; data storage; data archiving and preservation; data sharing and reuse; data integrity; data security; data privacy; data rights; notebook protocols (lab or field).	Allyson Lister|Peter McQuilton
Research data management infrastructure	Data stewardship technical concept	The configuration of staff, services and tools assembled to support data management across the research lifecycle and more specifically to provide comprehensive coverage of the stages making up the data lifecycle. It can be organized locally and/or globally to support research data activities across the research lifecycle.	Allyson Lister|Peter McQuilton
Research data publication workflow	Data stewardship activity	Activities and processes in a digital environment that lead to the publication of research data, associated metadata and accompanying documentation and software code on the Web. In contrast to interim or final published products, workflows are the means to curate, document, and review, and thus ensure and enhance the value of the published product. Workflows can involve both humans and machines and often humans are supported by technology as they perform steps in the workflow. Similar workflows may vary in the details depending on the research discipline, data publishing product and/or the host institution of the workflow (e.g., individual publisher/journal, institutional repository, discipline-specific repository).	Allyson Lister|Peter McQuilton
Research governance	Governance	Ensures that the benefits to society of research outweigh any risks, from both an ethical and legal perspective.	Allyson Lister|Peter McQuilton
Research integrity, attribution, impact awareness	Assessment		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Research manager	Researcher	The person who manages or coordinates resources, personnel, facilities, and operating funds-allocations in an organization conducting research, development and analysis (RDA) in the natural and physical sciences. A research manager determines the nature, priority objectives and the resources committed to their achievement within and across the organizations, and evaluates program outputs in relation to organizational objectives and policies. A research manager provides scientific advice on the direction, conduct and management of these programs. A research manager does not personally conduct research development and analysis (RDA), control and coordinate projects, or control and coordinate contracted RDA.	Allyson Lister|Peter McQuilton
Research metadata format	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	Research metadata format is a generic term encompassing the concept of a standardised format for research metadata.	Allyson Lister|Peter McQuilton						AL 9.3.2022: The original CASRAI definition is unsuitable (https://casrai.org/term/research-metadata-format), therefore I have changed the definition to something more generic
Research scientist	Researcher	A scientist who conducts activities in: (1) Research, development and analysis (RDA); (2) Managing research; and, (3) Representation and client services.	Allyson Lister|Peter McQuilton
Researcher	Role
Resource management	'has/wants competency in' some 'Data stewardship activity'|Data stewardship activity	Resource management is the efficient and effective development of an organization's resources when they are needed. Such resources may include the financial resources, inventory, human skills, production resources, or information technology (IT) and natural resources.	Kristina Hettne|Leighton Christiansen|Simon Hodson|Victoria Dominguez Del Angel
Reuse of digital assets	FAIR principle		Peter McQuilton
Role	'has aptitude for' some 'Data stewardship soft skill'|'has/wants competency in' some 'Data stewardship activity'|'has/wants knowledge about' some 'Data stewardship guideline'|'has/wants knowledge about' some 'Data stewardship technical concept'|'has/wants practical skill about' some 'Data stewardship technical concept'		Allyson Lister|Peter McQuilton				Peter McQuilton
